lr	dc	L2	L1	best_it	train1	stderr	valid1	stderr	test1	stderr	train2	stderr	valid2	stderr	test2	stderr
0.1	0	0	0	1	0.0775919892679	0.00130941751907	0.0786644029428	0.00369794217769	0.0740160563932	0.0036637370286	nan	nan	nan	nan	nan	nan
0.001	1e-6	0.001	0	1	0.0206975852817	0.00069682933319	0.0196189398227	0.00190501012838	0.0246720187977	0.00217088731185	1218049.96847	7922.88331825	1239412.64684	22863.9165564	1186876.50662	22376.4394511
0.01	1e-7	0.001	0	1	0.00814488309697	0.00043992102421	0.00679117147708	0.00112811844245	0.00724495790092	0.00118685750021	6410960.71578	41123.4103055	6525158.52289	118588.939123	6262351.73476	115637.338115
0.01	0	0.01	0.01	4	0.0594816021464	0.00115766565122	0.0567817392945	0.00317886811994	0.0561973761504	0.00322298440717	231309.306868	3311.2165143	234341.040255	9096.78858265	215469.460786	8904.28153311
1e-2	1e-7	1e-3	1e-3	10	0.0567267152166	0.0011321937588	0.0518770043388	0.0030463643893	0.0520853730174	0.00310958259325	980581.630843	9272.67424458	1041373.74373	28128.3638892	976453.276017	26737.0979352
1e-2	1e-1	1e-3	1e-3	3	0.163472594864	0.00180996733	0.159969817016	0.00503533691627	0.150381828862	0.00500229352823	3314.15363772	43.8596654065	3224.47687612	120.657807439	3201.97652464	122.605865685
1e-1	1e-2	1e-3	1e-3	2	0.28075891146	0.00219944036356	0.2731560083	0.00612051612434	0.276874877619	0.00626192837054	4925.46029482	51.6172033161	5079.60966213	149.366184735	4973.62962014	153.413614531
1e-1	1e-8	1e-3	1e-3	1	0.128952663856	0.00164037902911	0.131673269194	0.00464464429603	0.119052281183	0.00453214215145	28.0754185583	0.157103612758	28.5458614938	0.454173059901	27.8974202498	0.442020427882
1e-1	1e-7	1e-3	1e-3	1	0.128952663856	0.00164037902911	0.131673269194	0.00464464429603	0.119052281183	0.00453214215145	28.0754172854	0.157103604347	28.5458601981	0.454173035871	27.8974190115	0.442020405266
1e-1	1e-1	1e-3	1e-3	3	0.170611345343	0.00184115846918	0.166760988493	0.00512028450731	0.174662228314	0.00531342987879	49429.7014206	546.007401921	50743.7607247	1572.30591987	49680.4422666	1611.64104725
1e-1	1e-2	1e-3	1e-3	2	0.28075891146	0.00219944036356	0.2731560083	0.00612051612434	0.276874877619	0.00626192837054	4925.46029482	51.6172033161	5079.60966213	149.366184735	4973.62962014	153.413614531
5e-1	5e-2	1e-3	1e-3	3	0.172240321962	0.00184810958288	0.164874551971	0.00509700122868	0.177403563736	0.00534606428242	142030.281718	2381.89907886	148789.113174	6900.2705291	125486.645967	6106.13851076
5e-2	1e-3	1e-3	1e-3	2	0.482871789958	0.00244581274062	0.466704395397	0.00685278352362	0.48854513413	0.00699544905569	234.10964774	2.84778628736	247.84350335	8.83232622908	248.496601739	8.68751233473
5e-2	1e-4	1e-3	1e-3	1	0.523212916826	0.00244461031674	0.511412940955	0.00686623877126	0.515175249657	0.00699406205255	136.457453614	1.48764474625	142.449882172	4.37410509095	142.667782212	4.52740553533
5e-2	1e-5	1e-3	1e-3	1	0.523212916826	0.00244461031674	0.511412940955	0.00686623877126	0.515175249657	0.00699406205255	136.457453614	1.48764474625	142.449882172	4.37410509095	142.667782212	4.52740553533
5e-2	1e-6	1e-3	1e-3	1	0.523212916826	0.00244461031674	0.511412940955	0.00686623877126	0.515175249657	0.00699406205255	136.457453614	1.48764474625	142.449882172	4.37410509095	142.667782212	4.52740553533
