lr	dc	sizes	L2	L1	seed	tanh	best_it	train1	valid1	test1	train2	valid2	test2
0.1	0	[64,32]	0	0	1234	False	1	0.774415277432 	0.7568 	0.7652	0.751021828488 	0.804070725678 	0.778775597324
0.1	0	[32,16]	0	0	1234	False	1	0.752114953969 	0.7376 	0.747	0.83461077137 	0.882655071271 	0.855328318841
0.1	0	[16,8]	0	0	1234	False	1	0.657408559343 	0.6451 	0.6463	1.15803924798 	1.21357414277 	1.18010411788
0.1	0	[100,50]	0	0	1234	False	1	0.791272704653 	0.7779 	0.789	0.692016840474 	0.74092125854 	0.716249498807
0.1	0	[100,75,50]	0	0	1234	False	1	0.709007215725 	0.6978 	0.7087	0.989283330397 	1.01743179386 	0.995311181976
0.1	0	[100,50]	0	0	1234	True	2	0.402494401592 	0.3986 	0.4052	3.00134703427 	3.00901395487 	2.98458364182
0.1	0	[64,32]	0	0	1234	True	2	0.457638716099 	0.4583 	0.4548	2.11299102391 	2.12084955569 	2.12700576724
0.01	0	[100,50]	0	0	1234	False	1	0.647704652899 	0.6396 	0.6412	1.25733084968 	1.28820309044 	1.26304079326
1	0	[100,50]	0	0	1234	False	4	0.294631749191 	0.3019 	0.2934	2.43059659207 	2.40357558229 	2.44942719064
0.5	0	[100,50]	0	0	1234	False	1	0.635139338144 	0.6233 	0.6309	1.25379542602 	1.3005670769 	1.28423678396
0.1	0	[100,50]	0	0	1234	False	1	0.791272704653 	0.7779 	0.789	0.692016840474 	0.74092125854 	0.716249498807
0.1	0	[100,50]	0	0	1234	False	1	0.791272704653 	0.7779 	0.789	0.692016840474 	0.74092125854 	0.716249498807
0.1	0	[100,50]	0	0	1234	False	1	0.791272704653 	0.7779 	0.789	0.692016840474 	0.74092125854 	0.716249498807
